concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2100000067,ADL-PQ Study Partner Total Score,Measurement,A4_LEARN,Clinical Test,S,A4_AISCORE,2020-01-01,2099-12-31,
2100000070,MRI Microhemorrhage Count,Measurement,A4_LEARN,Procedure,S,A4_MRI_MCH,2020-01-01,2099-12-31,
2100000071,White Matter Hyperintensity Volume,Measurement,A4_LEARN,Procedure,S,A4_MRI_WMH_VOL,2020-01-01,2099-12-31,
2100000072,WMH Volume ICV-Corrected,Measurement,A4_LEARN,Procedure,S,A4_MRI_WMH_CORR,2020-01-01,2099-12-31,
2100000073,Retinal AI Score,Measurement,A4_LEARN,Procedure,S,A4_RETINAL_AI,2020-01-01,2099-12-31,
2100000074,PET Visual Assessment,Measurement,A4_LEARN,Procedure,S,A4_PET_VA,2020-01-01,2099-12-31,
2100000075,MRI Lobar Microhemorrhage,Measurement,A4_LEARN,Procedure,S,A4_MRI_LOBAR,2020-01-01,2099-12-31,
2100000076,MRI Deep Microhemorrhage,Measurement,A4_LEARN,Procedure,S,A4_MRI_DEEP,2020-01-01,2099-12-31,
2100000077,Intracranial Volume,Measurement,A4_LEARN,Procedure,S,A4_MRI_ICV,2020-01-01,2099-12-31,
2100000078,Tau PET SUVR PetSurfer,Measurement,A4_LEARN,Procedure,S,A4_TAU_PETSURFER,2020-01-01,2099-12-31,
2100000079,Tau PET SUVR Stanford,Measurement,A4_LEARN,Procedure,S,A4_TAU_STANFORD,2020-01-01,2099-12-31,
2100000080,Study Partner Relationship,Observation,A4_LEARN,Clinical Observation,S,A4_SP_RELATIONSHIP,2020-01-01,2099-12-31,
2100000081,Study Partner Contact Hours,Observation,A4_LEARN,Clinical Observation,S,A4_SP_CONTACT_HRS,2020-01-01,2099-12-31,
2100000082,Study Partner Cohabitation,Observation,A4_LEARN,Clinical Observation,S,A4_SP_COHABITATION,2020-01-01,2099-12-31,
2100000090,CogState MACQ Total,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_MACQ,2020-01-01,2099-12-31,
2100000091,CogState C-PATH Total,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_CPATH,2020-01-01,2099-12-31,
2100000093,Brain volumetric measurement,Measurement,A4_LEARN,Clinical Test,S,A4_BRAIN_VOLUME,2020-01-01,2099-12-31,
2100000094,Amyloid PET SUVR,Measurement,A4_LEARN,Clinical Test,S,A4_AMYLOID_SUVR,2020-01-01,2099-12-31,
2100000095,Tau PET SUVR,Measurement,A4_LEARN,Clinical Test,S,A4_TAU_SUVR,2020-01-01,2099-12-31,
2100000096,MRI radiological read,Measurement,A4_LEARN,Clinical Test,S,A4_MRI_READ,2020-01-01,2099-12-31,
2100000097,FLAIR lesion volume,Measurement,A4_LEARN,Clinical Test,S,A4_FLAIR_VOLUME,2020-01-01,2099-12-31,
2100000098,Retinal imaging measurement,Measurement,A4_LEARN,Clinical Test,S,A4_RETINAL_MEASURE,2020-01-01,2099-12-31,
2100000099,PET visual assessment,Measurement,A4_LEARN,Clinical Test,S,A4_PET_VISUAL_ASSESSMENT,2020-01-01,2099-12-31,
2100000106,C-SSRS Attempt Past 5 Years,Observation,A4_LEARN,Clinical Observation,S,A4_CSSRS_ATTMPT5,2020-01-01,2099-12-31,
2100000111,C-SSRS NSSI Past 5 Years,Observation,A4_LEARN,Clinical Observation,S,A4_CSSRS_NSSI5,2020-01-01,2099-12-31,
2100000115,C-SSRS Suicidal Behavior Lifetime,Observation,A4_LEARN,Clinical Observation,S,A4_CSSRS_BEHAV,2020-01-01,2099-12-31,
2100000119,C-SSRS Suicide Completion,Observation,A4_LEARN,Clinical Observation,S,A4_CSSRS_SUICIDE,2020-01-01,2099-12-31,
2100000140,CogState Brief Psychomotor Test,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_BPXT,2020-01-01,2099-12-31,
2100000141,CogState C3 Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_C3,2020-01-01,2099-12-31,
2100000142,CogState C3 Abbreviated Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_C3ABR,2020-01-01,2099-12-31,
2100000143,CogState Attention Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_ATTN,2020-01-01,2099-12-31,
2100000144,CogState Learning/WM Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_LNWM,2020-01-01,2099-12-31,
2100000145,CogState OCL-ONB Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_OCLONB,2020-01-01,2099-12-31,
2100000146,CogState Psychomotor/Attention Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_PSYATTN,2020-01-01,2099-12-31,
2100000147,CogState Brief Psychomotor Exam,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_BPET,2020-01-01,2099-12-31,
2100000148,CogState Face-Name Feature Test,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_FNFT,2020-01-01,2099-12-31,
2100000163,MMSE Attention WORLD,Measurement,A4_LEARN,Clinical Test,S,A4_MMWORLD,2020-01-01,2099-12-31,
2100000187,CDR Sum of Boxes (prorated),Measurement,A4_LEARN,Clinical Test,S,A4_CDRSB,2020-01-01,2099-12-31,
2100000201,Future Time Perspective Method,Observation,A4_LEARN,Clinical Observation,S,A4_FTP_METHOD,2020-01-01,2099-12-31,
2100000202,Research Satisfaction Quality,Observation,A4_LEARN,Clinical Observation,S,A4_RSS_QUALITY,2020-01-01,2099-12-31,
2100000203,Research Satisfaction Recommend,Observation,A4_LEARN,Clinical Observation,S,A4_RSS_RECOMMEND,2020-01-01,2099-12-31,
2100000204,Views Seek Knowledge,Observation,A4_LEARN,Clinical Observation,S,A4_VIEWS_SEEK,2020-01-01,2099-12-31,
2100000205,Resource Use Hospital Admission,Observation,A4_LEARN,Clinical Observation,S,A4_RUIB_ADMIT,2020-01-01,2099-12-31,
2100000208,Hospital Overnight Stay Nights,Observation,A4_LEARN,Clinical Observation,S,A4_RUIB1_NIGHTS,2020-01-01,2099-12-31,
2100000209,Hospital Stay Type,Observation,A4_LEARN,Clinical Observation,S,A4_RUIB1_TYPE,2020-01-01,2099-12-31,
2100000210,Family history - Mother,Observation,A4_LEARN,Clinical Observation,S,A4_FAMHX_MOTHER,2020-01-01,2099-12-31,
2100000211,Family history - Father,Observation,A4_LEARN,Clinical Observation,S,A4_FAMHX_FATHER,2020-01-01,2099-12-31,
2100000212,Family history - Sibling,Observation,A4_LEARN,Clinical Observation,S,A4_FAMHX_SIBLING,2020-01-01,2099-12-31,
2100000213,ADL-PQ Shop and Pay for Items,Observation,A4_LEARN,Clinical Observation,S,A4_ASPAY,2020-01-01,2099-12-31,
2100000214,ADL-PQ Keep Appointments,Observation,A4_LEARN,Clinical Observation,S,A4_ASTIMES,2020-01-01,2099-12-31,
2100000215,ADL-PQ Write Down Messages,Observation,A4_LEARN,Clinical Observation,S,A4_ASWDOWN,2020-01-01,2099-12-31,
2100000216,ADL-PQ Follow Movie Plot,Observation,A4_LEARN,Clinical Observation,S,A4_ASMOVIE,2020-01-01,2099-12-31,
2100000217,FTP Opportunities,Observation,A4_LEARN,Clinical Observation,S,A4_FTOPPS,2020-01-01,2099-12-31,
2100000218,FTP Goals,Observation,A4_LEARN,Clinical Observation,S,A4_FTGOAL,2020-01-01,2099-12-31,
2100000219,FTP Possibilities,Observation,A4_LEARN,Clinical Observation,S,A4_FTPOSSBL,2020-01-01,2099-12-31,
2100000220,FTP Life Ahead,Observation,A4_LEARN,Clinical Observation,S,A4_FTLIFE,2020-01-01,2099-12-31,
2100000221,FTP Infinite Time,Observation,A4_LEARN,Clinical Observation,S,A4_FTINFINIT,2020-01-01,2099-12-31,
2100000222,FTP Can Do Anything,Observation,A4_LEARN,Clinical Observation,S,A4_FTANYTHNG,2020-01-01,2099-12-31,
2100000223,FTP New Things,Observation,A4_LEARN,Clinical Observation,S,A4_FTNEW,2020-01-01,2099-12-31,
2100000224,FTP Running Out of Time,Observation,A4_LEARN,Clinical Observation,S,A4_FTRUNOUT,2020-01-01,2099-12-31,
2100000225,FTP Limited Possibilities,Observation,A4_LEARN,Clinical Observation,S,A4_FTLIMIT,2020-01-01,2099-12-31,
2100000226,FTP Getting Old,Observation,A4_LEARN,Clinical Observation,S,A4_FTGETOLD,2020-01-01,2099-12-31,
2100000227,RSS Survey Completed By,Observation,A4_LEARN,Clinical Observation,S,A4_RSSCOMP,2020-01-01,2099-12-31,
2100000228,RSS Met Expectations,Observation,A4_LEARN,Clinical Observation,S,A4_RSSEXPECT,2020-01-01,2099-12-31,
2100000229,RSS Would Redo,Observation,A4_LEARN,Clinical Observation,S,A4_RSSREDO,2020-01-01,2099-12-31,
2100000230,RSS Best Part,Observation,A4_LEARN,Clinical Observation,S,A4_RSSBEST,2020-01-01,2099-12-31,
2100000231,RSS Least Liked,Observation,A4_LEARN,Clinical Observation,S,A4_RSSLEAST,2020-01-01,2099-12-31,
2100000232,RSS Study Medication,Observation,A4_LEARN,Clinical Observation,S,A4_RSSMED,2020-01-01,2099-12-31,
2100000233,RSS Number of Visits,Observation,A4_LEARN,Clinical Observation,S,A4_RSSVIS,2020-01-01,2099-12-31,
2100000234,RSS Other,Observation,A4_LEARN,Clinical Observation,S,A4_RSSOTH,2020-01-01,2099-12-31,
2100000235,RSS iPad Experience,Observation,A4_LEARN,Clinical Observation,S,A4_RSSIPAD,2020-01-01,2099-12-31,
2100000236,Views Ease of Decision,Observation,A4_LEARN,Clinical Observation,S,A4_VEASE,2020-01-01,2099-12-31,
2100000237,Views Risk Perception,Observation,A4_LEARN,Clinical Observation,S,A4_VRISK,2020-01-01,2099-12-31,
2100000238,Views Participation Value,Observation,A4_LEARN,Clinical Observation,S,A4_VPART,2020-01-01,2099-12-31,
2100000239,Views Contribution,Observation,A4_LEARN,Clinical Observation,S,A4_VCNTRB,2020-01-01,2099-12-31,
2100000240,Views Personal Affairs,Observation,A4_LEARN,Clinical Observation,S,A4_VAFFAIR,2020-01-01,2099-12-31,
2100000241,Views Confirmation Value,Observation,A4_LEARN,Clinical Observation,S,A4_VCNFRM,2020-01-01,2099-12-31,
2100000242,Views Preparedness,Observation,A4_LEARN,Clinical Observation,S,A4_VPREP,2020-01-01,2099-12-31,
2100000243,Views Curiosity,Observation,A4_LEARN,Clinical Observation,S,A4_VCURIOUS,2020-01-01,2099-12-31,
2100000244,Views Other Reasons,Observation,A4_LEARN,Clinical Observation,S,A4_VOTHER,2020-01-01,2099-12-31,
2100000270,CogState BPET Log Mean RT,Measurement,A4_LEARN,Clinical Test,S,A4_BPET_LMN,2020-01-01,2099-12-31,
2100000271,CogState BPET Correct Responses,Measurement,A4_LEARN,Clinical Test,S,A4_BPET_COR,2020-01-01,2099-12-31,
2100000272,CogState BPET Errors,Measurement,A4_LEARN,Clinical Test,S,A4_BPET_ERR,2020-01-01,2099-12-31,
2100000274,CogState FNFT Log Mean RT,Measurement,A4_LEARN,Clinical Test,S,A4_FNFT_LMN,2020-01-01,2099-12-31,
2100000275,CogState FNFT Correct Responses,Measurement,A4_LEARN,Clinical Test,S,A4_FNFT_COR,2020-01-01,2099-12-31,
2100000276,CogState FNFT Errors,Measurement,A4_LEARN,Clinical Test,S,A4_FNFT_ERR,2020-01-01,2099-12-31,
2100000280,MACQ Q1 Remember New Name,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q1,2020-01-01,2099-12-31,
2100000281,MACQ Q2 Recall Phone Numbers,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q2,2020-01-01,2099-12-31,
2100000282,MACQ Q3 Where Placed Objects,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q3,2020-01-01,2099-12-31,
2100000283,MACQ Q4 Recall Article Facts,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q4,2020-01-01,2099-12-31,
2100000284,MACQ Q5 Recall Shopping Items,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q5,2020-01-01,2099-12-31,
2100000285,MACQ Q6 Memory vs High School,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q6,2020-01-01,2099-12-31,
2100000290,C-PATH Q1,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q1,2020-01-01,2099-12-31,
2100000291,C-PATH Q2,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q2,2020-01-01,2099-12-31,
2100000292,C-PATH Q3,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q3,2020-01-01,2099-12-31,
2100000293,C-PATH Q4,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q4,2020-01-01,2099-12-31,
2100000294,C-PATH Q5,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q5,2020-01-01,2099-12-31,
2100000295,C-PATH Q6,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q6,2020-01-01,2099-12-31,
2100000296,C-PATH Q7,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q7,2020-01-01,2099-12-31,
2100000297,C-PATH Q8,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q8,2020-01-01,2099-12-31,
2100000298,C-PATH Q9,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q9,2020-01-01,2099-12-31,
2100000299,C-PATH Q10,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q10,2020-01-01,2099-12-31,
2100000300,Walking exercise frequency,Observation,A4_LEARN,Clinical Observation,S,A4_WALKING,2020-01-01,2099-12-31,
2100000301,Sleep duration hours,Observation,A4_LEARN,Clinical Observation,S,A4_SLEEP,2020-01-01,2099-12-31,
2100000302,C-PATH Q13,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q13,2020-01-01,2099-12-31,
2100000303,C-PATH Q14,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q14,2020-01-01,2099-12-31,
2100000304,C-PATH Q15,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q15,2020-01-01,2099-12-31,
2100000305,C-PATH Q16,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q16,2020-01-01,2099-12-31,
2100000306,C-PATH Q17,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q17,2020-01-01,2099-12-31,
2100000307,C-PATH Q18,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q18,2020-01-01,2099-12-31,
2100000308,C-PATH Q19,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q19,2020-01-01,2099-12-31,
2100000309,C-PATH Q20,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q20,2020-01-01,2099-12-31,
2100000310,C-PATH Q21,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q21,2020-01-01,2099-12-31,
2100000311,C-PATH Q22,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q22,2020-01-01,2099-12-31,
2100000312,C-PATH Q23,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q23,2020-01-01,2099-12-31,
2100000313,C-PATH Q24,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q24,2020-01-01,2099-12-31,
2100000314,C-PATH Q25,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q25,2020-01-01,2099-12-31,
2100000315,C-PATH Q26,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q26,2020-01-01,2099-12-31,
2100000400,Treatment assignment,Observation,A4_LEARN,Clinical Observation,S,A4_TX,2020-01-01,2099-12-31,
2100000401,Placebo treatment arm,Meas Value,A4_LEARN,Answer,S,A4_TX_PLACEBO,2020-01-01,2099-12-31,
2100000402,Solanezumab,Meas Value,A4_LEARN,Answer,S,A4_TX_SOLANEZUMAB,2020-01-01,2099-12-31,
2100000500,Roche biomarker panel category marker,Measurement,A4_LEARN,Lab Test,S,A4_ROCHE_MARKER,2020-01-01,2099-12-31,
2100000501,Anti-Solanezumab Antibody Level,Measurement,A4_LEARN,Lab Test,S,A4_ANTI_LY2062430,2020-01-01,2099-12-31,
2100000502,Solanezumab Plasma Concentration,Measurement,A4_LEARN,Lab Test,S,A4_LY2062430_PK,2020-01-01,2099-12-31,
2100000503,Anti-Solanezumab Neutralizing Antibody,Measurement,A4_LEARN,Lab Test,S,A4_ANTI_LY2062430_NAB,2020-01-01,2099-12-31,
2100000504,Anti-Solanezumab Antibody Titer,Measurement,A4_LEARN,Lab Test,S,A4_ANTI_LY2062430_TITER,2020-01-01,2099-12-31,
2100000505,Solanezumab CSF Concentration,Measurement,A4_LEARN,Lab Test,S,A4_LY2062430_CSF_PK,2020-01-01,2099-12-31,
2100000510,Free/Total Plasma Abeta-40 Ratio,Measurement,A4_LEARN,Lab Test,S,A4_ABETA40_RATIO,2020-01-01,2099-12-31,
2100000511,Free Plasma Abeta-42/40 Ratio,Measurement,A4_LEARN,Lab Test,S,A4_ABETA_FP_RATIO,2020-01-01,2099-12-31,
2100000512,Free/Total Plasma Abeta-42 Ratio,Measurement,A4_LEARN,Lab Test,S,A4_ABETA42_RATIO,2020-01-01,2099-12-31,
2100000520,CSF Modified Abeta-40,Measurement,A4_LEARN,Lab Test,S,A4_CSF_ABETA40_MOD,2020-01-01,2099-12-31,
2100000521,CSF Modified Abeta-42,Measurement,A4_LEARN,Lab Test,S,A4_CSF_ABETA42_MOD,2020-01-01,2099-12-31,
2100000524,CSF Free Abeta-40,Measurement,A4_LEARN,Lab Test,S,A4_CSF_ABETA40_FREE,2020-01-01,2099-12-31,
2100000525,CSF Free Abeta-42,Measurement,A4_LEARN,Lab Test,S,A4_CSF_ABETA42_FREE,2020-01-01,2099-12-31,
2100000530,Hepatitis E IgG/IgM Interpretation,Measurement,A4_LEARN,Lab Test,S,A4_HEPE_INTERP,2020-01-01,2099-12-31,
2100000531,HCV RNA Viral Load,Measurement,A4_LEARN,Lab Test,S,A4_HCV_RNA,2020-01-01,2099-12-31,
