concept_id,source_code,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,record_count,category,notes
2100000042,ONB,CogState One-Back,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_ONB,2020-01-01,2099-12-31,,22713,CogState,Working memory - speed (log10 ms)
2100000043,OCL,CogState One-Card Learning,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_OCL,2020-01-01,2099-12-31,,22769,CogState,Visual learning - accuracy (arcsine sqrt)
2100000047,FNMT,CogState Face-Name Memory Test,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_FNMT,2020-01-01,2099-12-31,,22233,CogState,Associative memory test
2100000048,FNLT,CogState Face-Name Learning Test,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_FNLT,2020-01-01,2099-12-31,,22265,CogState,Associative learning test
2100000049,FSBT,CogState Face-Symbol Binding Test,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_FSBT,2020-01-01,2099-12-31,,22276,CogState,Symbol binding test
2100000050,CFIPTTOTAL,CFI Patient Total Score,Measurement,A4_LEARN,Clinical Test,S,A4_CFI_PATIENT,2020-01-01,2099-12-31,,15149,Cognitive,Cognitive Function Instrument - Patient Version
2100000051,CFSPTTOTAL,CFI Study Partner Total Score,Measurement,A4_LEARN,Clinical Test,S,A4_CFI_PARTNER,2020-01-01,2099-12-31,,15192,Cognitive,Cognitive Function Instrument - Study Partner Version
2100000052,DIGITTOTAL,Digit Symbol Total,Measurement,A4_LEARN,Clinical Test,S,A4_DIGIT_TOTAL,2020-01-01,2099-12-31,,26459,Cognitive,Digit Symbol Substitution Test Total
2100000054,LIMMTOTAL,Logical Memory Immediate Total,Measurement,A4_LEARN,Clinical Test,S,A4_LOGMEM_IMM,2020-01-01,2099-12-31,,26492,Cognitive,Wechsler Logical Memory Immediate Recall
2100000055,LDELTOTAL,Logical Memory Delayed Total,Measurement,A4_LEARN,Clinical Test,S,A4_LOGMEM_DEL,2020-01-01,2099-12-31,,26480,Cognitive,Wechsler Logical Memory Delayed Recall
2100000056,FCTOTF,FCSR-16 Free Recall Total,Measurement,A4_LEARN,Clinical Test,S,A4_FCSR_FREE,2020-01-01,2099-12-31,,26439,Cognitive,Free and Cued Selective Reminding - Free Recall
2100000057,FCTOTC,FCSR-16 Cued Recall Total,Measurement,A4_LEARN,Clinical Test,S,A4_FCSR_CUED,2020-01-01,2099-12-31,,26438,Cognitive,Free and Cued Selective Reminding - Cued Recall
2100000060,STAITOTAL,STAI Total Score,Measurement,A4_LEARN,Clinical Test,S,A4_STAI_TOTAL,2020-01-01,2099-12-31,,21546,Questionnaire,State-Trait Anxiety Inventory Total
2100000062,CADDVLP,AD Concern Development,Measurement,A4_LEARN,Clinical Test,S,A4_CONCERN_DVLP,2020-01-01,2099-12-31,,15280,Questionnaire,Concern about developing Alzheimer's disease
2100000063,CADKNOW,AD Concern Knowledge,Measurement,A4_LEARN,Clinical Test,S,A4_CONCERN_KNOW,2020-01-01,2099-12-31,,15281,Questionnaire,Knowledge concern about AD
2100000064,CADBLIEV,AD Concern Belief,Measurement,A4_LEARN,Clinical Test,S,A4_CONCERN_BLIEV,2020-01-01,2099-12-31,,15277,Questionnaire,Belief concern about AD
2100000065,CADWRST,AD Concern Worst,Measurement,A4_LEARN,Clinical Test,S,A4_CONCERN_WRST,2020-01-01,2099-12-31,,15280,Questionnaire,Worst case concern about AD
2100000066,CADCNCRN,AD Concern Overall,Measurement,A4_LEARN,Clinical Test,S,A4_CONCERN_OVRL,2020-01-01,2099-12-31,,15281,Questionnaire,Overall concern about AD
2100000067,AISCORE,ADL-PQ Study Partner Total Score,Measurement,A4_LEARN,Clinical Test,S,A4_AISCORE,2020-01-01,2099-12-31,,15175,Questionnaire,Questionnaire total score; totals are kept in MEASUREMENT.
2100000070,MCH,MRI Microhemorrhage Count,Measurement,A4_LEARN,Procedure,S,A4_MRI_MCH,2020-01-01,2099-12-31,,1797,Imaging,MRI microhemorrhage count
2100000071,WMH_VOL,White Matter Hyperintensity Volume,Measurement,A4_LEARN,Procedure,S,A4_MRI_WMH_VOL,2020-01-01,2099-12-31,,6782,Imaging,FLAIR white matter hyperintensity volume (mL)
2100000072,WMH_CORRECTED,WMH Volume ICV-Corrected,Measurement,A4_LEARN,Procedure,S,A4_MRI_WMH_CORR,2020-01-01,2099-12-31,,6782,Imaging,WMH volume corrected for intracranial volume (%)
2100000073,RETINAL_AI,Retinal AI Score,Measurement,A4_LEARN,Procedure,S,A4_RETINAL_AI,2020-01-01,2099-12-31,,252,Imaging,Retinal imaging AI prediction score
2100000074,PET_VA,PET Visual Assessment,Measurement,A4_LEARN,Procedure,S,A4_PET_VA,2020-01-01,2099-12-31,,4492,Imaging,PET visual assessment rating
2100000075,LOBAR,MRI Lobar Microhemorrhage,Measurement,A4_LEARN,Procedure,S,A4_MRI_LOBAR,2020-01-01,2099-12-31,,1763,Imaging,Lobar microhemorrhage count
2100000076,DEEP,MRI Deep Microhemorrhage,Measurement,A4_LEARN,Procedure,S,A4_MRI_DEEP,2020-01-01,2099-12-31,,1764,Imaging,Deep microhemorrhage count
2100000077,ICV,Intracranial Volume,Measurement,A4_LEARN,Procedure,S,A4_MRI_ICV,2020-01-01,2099-12-31,,6782,Imaging,Intracranial volume (mL)
2100000078,TAU_PETSURFER,Tau PET SUVR PetSurfer,Measurement,A4_LEARN,Procedure,S,A4_TAU_PETSURFER,2020-01-01,2099-12-31,,107690,Imaging,Tau PET regional SUVR via PetSurfer pipeline
2100000079,TAU_STANFORD,Tau PET SUVR Stanford,Measurement,A4_LEARN,Procedure,S,A4_TAU_STANFORD,2020-01-01,2099-12-31,,119954,Imaging,Tau PET regional SUVR via Stanford pipeline
2100000080,RELATIONSHIP,Study Partner Relationship,Observation,A4_LEARN,Clinical Observation,S,A4_SP_RELATIONSHIP,2020-01-01,2099-12-31,,7641,Study Partner,Study partner relationship to participant
2100000081,CONTACT_HRS,Study Partner Contact Hours,Observation,A4_LEARN,Clinical Observation,S,A4_SP_CONTACT_HRS,2020-01-01,2099-12-31,,7355,Study Partner,Weekly contact hours with study partner
2100000082,COHABITATION,Study Partner Cohabitation,Observation,A4_LEARN,Clinical Observation,S,A4_SP_COHABITATION,2020-01-01,2099-12-31,,7611,Study Partner,Whether study partner lives with participant
2100000090,MACQ_Total,CogState MACQ Total,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_MACQ,2020-01-01,2099-12-31,,27455,CogState,Memory and Cognition Questionnaire Total
2100000091,CPATH_Total,CogState C-PATH Total,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_CPATH,2020-01-01,2099-12-31,,27769,CogState,C-PATH questionnaire session total
2100000093,brain_volume,Brain volumetric measurement,Measurement,A4_LEARN,Clinical Test,S,A4_BRAIN_VOLUME,2020-01-01,2099-12-31,,156403,MI-CDM Image Finding,REVIEW: MI-CDM spec not in repo; domain assumed Measurement
2100000094,amyloid_suvr,Amyloid PET SUVR,Measurement,A4_LEARN,Clinical Test,S,A4_AMYLOID_SUVR,2020-01-01,2099-12-31,,43528,MI-CDM Image Finding,REVIEW: MI-CDM spec not in repo; domain assumed Measurement
2100000095,tau_suvr,Tau PET SUVR,Measurement,A4_LEARN,Clinical Test,S,A4_TAU_SUVR,2020-01-01,2099-12-31,,409371,MI-CDM Image Finding,REVIEW: MI-CDM spec not in repo; domain assumed Measurement
2100000096,mri_read,MRI radiological read,Measurement,A4_LEARN,Clinical Test,S,A4_MRI_READ,2020-01-01,2099-12-31,,5324,MI-CDM Image Finding,REVIEW: MI-CDM spec not in repo; domain assumed Measurement
2100000097,flair_volume,FLAIR lesion volume,Measurement,A4_LEARN,Clinical Test,S,A4_FLAIR_VOLUME,2020-01-01,2099-12-31,,20346,MI-CDM Image Finding,REVIEW: MI-CDM spec not in repo; domain assumed Measurement
2100000098,retinal_measure,Retinal imaging measurement,Measurement,A4_LEARN,Clinical Test,S,A4_RETINAL_MEASURE,2020-01-01,2099-12-31,,252,MI-CDM Image Finding,REVIEW: MI-CDM spec not in repo; domain assumed Measurement
2100000099,pet_visual_assessment,PET visual assessment,Measurement,A4_LEARN,Clinical Test,S,A4_PET_VISUAL_ASSESSMENT,2020-01-01,2099-12-31,,4492,MI-CDM Image Finding,REVIEW: MI-CDM spec not in repo; domain assumed Measurement
2100000106,ATTMPT5,C-SSRS Attempt Past 5 Years,Observation,A4_LEARN,Clinical Observation,S,A4_CSSRS_ATTMPT5,2020-01-01,2099-12-31,,5496,C-SSRS,Suicide attempt in past 5 years
2100000111,NONSUI5,C-SSRS NSSI Past 5 Years,Observation,A4_LEARN,Clinical Observation,S,A4_CSSRS_NSSI5,2020-01-01,2099-12-31,,5660,C-SSRS,Non-suicidal self-injury past 5 years
2100000115,BEHAVLIF,C-SSRS Suicidal Behavior Lifetime,Observation,A4_LEARN,Clinical Observation,S,A4_CSSRS_BEHAV,2020-01-01,2099-12-31,,5660,C-SSRS,Suicidal behavior lifetime indicator
2100000119,SUICIDE,C-SSRS Suicide Completion,Observation,A4_LEARN,Clinical Observation,S,A4_CSSRS_SUICIDE,2020-01-01,2099-12-31,,18681,C-SSRS,Suicide completion indicator
2100000140,BPXT,CogState Brief Psychomotor Test,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_BPXT,2020-01-01,2099-12-31,,22443,CogState,Brief psychomotor assessment
2100000141,C3Comp,CogState C3 Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_C3,2020-01-01,2099-12-31,,22345,CogState,C3 Composite Score (z-score)
2100000142,C3AbrComp,CogState C3 Abbreviated Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_C3ABR,2020-01-01,2099-12-31,,22178,CogState,Abbreviated C3 Composite (z-score)
2100000143,AttnComp,CogState Attention Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_ATTN,2020-01-01,2099-12-31,,22679,CogState,Attention domain composite
2100000144,LearnWMComp,CogState Learning/WM Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_LNWM,2020-01-01,2099-12-31,,22681,CogState,Learning and Working Memory composite
2100000145,OCLONBComp,CogState OCL-ONB Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_OCLONB,2020-01-01,2099-12-31,,22681,CogState,OCL-ONB combined composite
2100000146,PsychAttnComp,CogState Psychomotor/Attention Composite,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_PSYATTN,2020-01-01,2099-12-31,,22764,CogState,Psychomotor and Attention composite
2100000147,BPET,CogState Brief Psychomotor Exam,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_BPET,2020-01-01,2099-12-31,,27762,CogState,Brief Psychomotor Examination Test accuracy
2100000148,FNFT,CogState Face-Name Feature Test,Measurement,A4_LEARN,Clinical Test,S,A4_COGSTATE_FNFT,2020-01-01,2099-12-31,,27762,CogState,Face-Name Feature Test accuracy
2100000163,MMWORLD,MMSE Attention WORLD,Measurement,A4_LEARN,Clinical Test,S,A4_MMWORLD,2020-01-01,2099-12-31,,26442,Cognitive,Declared in concept_maps/cognitive.csv
2100000187,CDRSB,CDR Sum of Boxes (prorated),Measurement,A4_LEARN,Clinical Test,S,A4_CDRSB,2020-01-01,2099-12-31,,15117,Cognitive,Declared in concept_maps/cognitive.csv
2100000201,FTP_METHOD,Future Time Perspective Method,Observation,A4_LEARN,Clinical Observation,S,A4_FTP_METHOD,2020-01-01,2099-12-31,,17450,Questionnaire,Future Time Perspective scale response
2100000202,RSS_QUALITY,Research Satisfaction Quality,Observation,A4_LEARN,Clinical Observation,S,A4_RSS_QUALITY,2020-01-01,2099-12-31,,7088,Questionnaire,Research Satisfaction Scale - quality rating
2100000203,RSS_RECOMMEND,Research Satisfaction Recommend,Observation,A4_LEARN,Clinical Observation,S,A4_RSS_RECOMMEND,2020-01-01,2099-12-31,,7086,Questionnaire,Research Satisfaction Scale - recommendation
2100000204,VIEWS_SEEK,Views Seek Knowledge,Observation,A4_LEARN,Clinical Observation,S,A4_VIEWS_SEEK,2020-01-01,2099-12-31,,10130,Questionnaire,Views on Disclosure - knowledge seeking
2100000205,RUIB_ADMIT,Resource Use Hospital Admission,Observation,A4_LEARN,Clinical Observation,S,A4_RUIB_ADMIT,2020-01-01,2099-12-31,,9009,Resource Utilization,Hospital admission indicator
2100000208,BR1NIGHT,Hospital Overnight Stay Nights,Observation,A4_LEARN,Clinical Observation,S,A4_RUIB1_NIGHTS,2020-01-01,2099-12-31,,1106,Resource Utilization,Number of hospital overnight stay nights
2100000209,BR1TYPE,Hospital Stay Type,Observation,A4_LEARN,Clinical Observation,S,A4_RUIB1_TYPE,2020-01-01,2099-12-31,,1001,Resource Utilization,Type of hospital stay (coded)
2100000210,FAMHX_MOTHER,Family history - Mother,Observation,A4_LEARN,Clinical Observation,S,A4_FAMHX_MOTHER,2020-01-01,2099-12-31,,5806,Family History,Declared in concept_maps/observations.csv
2100000211,FAMHX_FATHER,Family history - Father,Observation,A4_LEARN,Clinical Observation,S,A4_FAMHX_FATHER,2020-01-01,2099-12-31,,5771,Family History,Declared in concept_maps/observations.csv
2100000212,FAMHX_SIBLING,Family history - Sibling,Observation,A4_LEARN,Clinical Observation,S,A4_FAMHX_SIBLING,2020-01-01,2099-12-31,,13842,Family History,Declared in concept_maps/observations.csv
2100000213,ASPAY,ADL-PQ Shop and Pay for Items,Observation,A4_LEARN,Clinical Observation,S,A4_ASPAY,2020-01-01,2099-12-31,,15108,Questionnaire,Questionnaire item.
2100000214,ASTIMES,ADL-PQ Keep Appointments,Observation,A4_LEARN,Clinical Observation,S,A4_ASTIMES,2020-01-01,2099-12-31,,15109,Questionnaire,Questionnaire item.
2100000215,ASWDOWN,ADL-PQ Write Down Messages,Observation,A4_LEARN,Clinical Observation,S,A4_ASWDOWN,2020-01-01,2099-12-31,,15113,Questionnaire,Questionnaire item.
2100000216,ASMOVIE,ADL-PQ Follow Movie Plot,Observation,A4_LEARN,Clinical Observation,S,A4_ASMOVIE,2020-01-01,2099-12-31,,15111,Questionnaire,Questionnaire item.
2100000217,FTOPPS,FTP Opportunities,Observation,A4_LEARN,Clinical Observation,S,A4_FTOPPS,2020-01-01,2099-12-31,,17442,Questionnaire,Questionnaire item.
2100000218,FTGOAL,FTP Goals,Observation,A4_LEARN,Clinical Observation,S,A4_FTGOAL,2020-01-01,2099-12-31,,17442,Questionnaire,Questionnaire item.
2100000219,FTPOSSBL,FTP Possibilities,Observation,A4_LEARN,Clinical Observation,S,A4_FTPOSSBL,2020-01-01,2099-12-31,,17430,Questionnaire,Questionnaire item.
2100000220,FTLIFE,FTP Life Ahead,Observation,A4_LEARN,Clinical Observation,S,A4_FTLIFE,2020-01-01,2099-12-31,,17434,Questionnaire,Questionnaire item.
2100000221,FTINFINIT,FTP Infinite Time,Observation,A4_LEARN,Clinical Observation,S,A4_FTINFINIT,2020-01-01,2099-12-31,,17382,Questionnaire,Questionnaire item.
2100000222,FTANYTHNG,FTP Can Do Anything,Observation,A4_LEARN,Clinical Observation,S,A4_FTANYTHNG,2020-01-01,2099-12-31,,17428,Questionnaire,Questionnaire item.
2100000223,FTNEW,FTP New Things,Observation,A4_LEARN,Clinical Observation,S,A4_FTNEW,2020-01-01,2099-12-31,,17442,Questionnaire,Questionnaire item.
2100000224,FTRUNOUT,FTP Running Out of Time,Observation,A4_LEARN,Clinical Observation,S,A4_FTRUNOUT,2020-01-01,2099-12-31,,17441,Questionnaire,Questionnaire item.
2100000225,FTLIMIT,FTP Limited Possibilities,Observation,A4_LEARN,Clinical Observation,S,A4_FTLIMIT,2020-01-01,2099-12-31,,17439,Questionnaire,Questionnaire item.
2100000226,FTGETOLD,FTP Getting Old,Observation,A4_LEARN,Clinical Observation,S,A4_FTGETOLD,2020-01-01,2099-12-31,,17441,Questionnaire,Questionnaire item.
2100000227,RSSCOMP,RSS Survey Completed By,Observation,A4_LEARN,Clinical Observation,S,A4_RSSCOMP,2020-01-01,2099-12-31,,7087,Questionnaire,Questionnaire item.
2100000228,RSSEXPECT,RSS Met Expectations,Observation,A4_LEARN,Clinical Observation,S,A4_RSSEXPECT,2020-01-01,2099-12-31,,7050,Questionnaire,Questionnaire item.
2100000229,RSSREDO,RSS Would Redo,Observation,A4_LEARN,Clinical Observation,S,A4_RSSREDO,2020-01-01,2099-12-31,,7085,Questionnaire,Questionnaire item.
2100000230,RSSBEST,RSS Best Part,Observation,A4_LEARN,Clinical Observation,S,A4_RSSBEST,2020-01-01,2099-12-31,,7076,Questionnaire,Questionnaire item.
2100000231,RSSLEAST,RSS Least Liked,Observation,A4_LEARN,Clinical Observation,S,A4_RSSLEAST,2020-01-01,2099-12-31,,7046,Questionnaire,Questionnaire item.
2100000232,RSSMED,RSS Study Medication,Observation,A4_LEARN,Clinical Observation,S,A4_RSSMED,2020-01-01,2099-12-31,,5050,Questionnaire,Questionnaire item.
2100000233,RSSVIS,RSS Number of Visits,Observation,A4_LEARN,Clinical Observation,S,A4_RSSVIS,2020-01-01,2099-12-31,,7010,Questionnaire,Questionnaire item.
2100000234,RSSOTH,RSS Other,Observation,A4_LEARN,Clinical Observation,S,A4_RSSOTH,2020-01-01,2099-12-31,,6147,Questionnaire,Questionnaire item.
2100000235,RSSIPAD,RSS iPad Experience,Observation,A4_LEARN,Clinical Observation,S,A4_RSSIPAD,2020-01-01,2099-12-31,,6976,Questionnaire,Questionnaire item.
2100000236,VEASE,Views Ease of Decision,Observation,A4_LEARN,Clinical Observation,S,A4_VEASE,2020-01-01,2099-12-31,,10126,Questionnaire,Questionnaire item.
2100000237,VRISK,Views Risk Perception,Observation,A4_LEARN,Clinical Observation,S,A4_VRISK,2020-01-01,2099-12-31,,10132,Questionnaire,Questionnaire item.
2100000238,VPART,Views Participation Value,Observation,A4_LEARN,Clinical Observation,S,A4_VPART,2020-01-01,2099-12-31,,10129,Questionnaire,Questionnaire item.
2100000239,VCNTRB,Views Contribution,Observation,A4_LEARN,Clinical Observation,S,A4_VCNTRB,2020-01-01,2099-12-31,,10129,Questionnaire,Questionnaire item.
2100000240,VAFFAIR,Views Personal Affairs,Observation,A4_LEARN,Clinical Observation,S,A4_VAFFAIR,2020-01-01,2099-12-31,,10128,Questionnaire,Questionnaire item.
2100000241,VCNFRM,Views Confirmation Value,Observation,A4_LEARN,Clinical Observation,S,A4_VCNFRM,2020-01-01,2099-12-31,,10126,Questionnaire,Questionnaire item.
2100000242,VPREP,Views Preparedness,Observation,A4_LEARN,Clinical Observation,S,A4_VPREP,2020-01-01,2099-12-31,,10131,Questionnaire,Questionnaire item.
2100000243,VCURIOUS,Views Curiosity,Observation,A4_LEARN,Clinical Observation,S,A4_VCURIOUS,2020-01-01,2099-12-31,,10117,Questionnaire,Questionnaire item.
2100000244,VOTHER,Views Other Reasons,Observation,A4_LEARN,Clinical Observation,S,A4_VOTHER,2020-01-01,2099-12-31,,2296,Questionnaire,Questionnaire item.
2100000270,BPET_lmn,CogState BPET Log Mean RT,Measurement,A4_LEARN,Clinical Test,S,A4_BPET_LMN,2020-01-01,2099-12-31,,27760,CogState,Declared in concept_maps/cogstate.csv
2100000271,BPET_cor,CogState BPET Correct Responses,Measurement,A4_LEARN,Clinical Test,S,A4_BPET_COR,2020-01-01,2099-12-31,,27762,CogState,Declared in concept_maps/cogstate.csv
2100000272,BPET_err,CogState BPET Errors,Measurement,A4_LEARN,Clinical Test,S,A4_BPET_ERR,2020-01-01,2099-12-31,,27762,CogState,Declared in concept_maps/cogstate.csv
2100000274,FNFT_lmn,CogState FNFT Log Mean RT,Measurement,A4_LEARN,Clinical Test,S,A4_FNFT_LMN,2020-01-01,2099-12-31,,27723,CogState,Declared in concept_maps/cogstate.csv
2100000275,FNFT_cor,CogState FNFT Correct Responses,Measurement,A4_LEARN,Clinical Test,S,A4_FNFT_COR,2020-01-01,2099-12-31,,27762,CogState,Declared in concept_maps/cogstate.csv
2100000276,FNFT_err,CogState FNFT Errors,Measurement,A4_LEARN,Clinical Test,S,A4_FNFT_ERR,2020-01-01,2099-12-31,,27762,CogState,Declared in concept_maps/cogstate.csv
2100000280,MACQ_Q1,MACQ Q1 Remember New Name,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q1,2020-01-01,2099-12-31,,27455,CogState,Questionnaire item. Domain follows the table the ETL writes to (MEASUREMENT); placement is under review separately.
2100000281,MACQ_Q2,MACQ Q2 Recall Phone Numbers,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q2,2020-01-01,2099-12-31,,27450,CogState,Questionnaire item. Domain follows the table the ETL writes to (MEASUREMENT); placement is under review separately.
2100000282,MACQ_Q3,MACQ Q3 Where Placed Objects,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q3,2020-01-01,2099-12-31,,27442,CogState,Questionnaire item. Domain follows the table the ETL writes to (MEASUREMENT); placement is under review separately.
2100000283,MACQ_Q4,MACQ Q4 Recall Article Facts,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q4,2020-01-01,2099-12-31,,27436,CogState,Questionnaire item. Domain follows the table the ETL writes to (MEASUREMENT); placement is under review separately.
2100000284,MACQ_Q5,MACQ Q5 Recall Shopping Items,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q5,2020-01-01,2099-12-31,,27433,CogState,Questionnaire item. Domain follows the table the ETL writes to (MEASUREMENT); placement is under review separately.
2100000285,MACQ_Q6,MACQ Q6 Memory vs High School,Measurement,A4_LEARN,Clinical Test,S,A4_MACQ_Q6,2020-01-01,2099-12-31,,27426,CogState,Questionnaire item. Domain follows the table the ETL writes to (MEASUREMENT); placement is under review separately.
2100000290,CPATH_Q1,C-PATH Q1,Measurement,A4_LEARN,Clinical Test,S,A4_CPATH_Q1,2020-01-01,2099-12-31,,27769,CogState,Questionnaire item. Domain follows the table the ETL writes to (MEASUREMENT); placement is under review separately.
